"Seccion","Modulo","Submodulo","Tipo","Descripcion","Funcionamiento","Relaciones","Reglas_Logicas","Archivos_Relacionados","Tablas_Base_Datos","Providers_Servicios","Endpoints_Backend","Flujo_Proceso","Riesgos_Consideraciones","Estado_Actual","Notas_Tecnicas"
"Backend ASP.NET Core","API","Controladores","Tecnico","Backend REST con JWT, EF Core, SQL Server, CORS, Swagger en Development/StagingLocal y servicios por modulo.","Program.cs registra DbContext SQL Server, JWT, autorizacion, servicios, proveedores de pago y middleware de sesion activa.","Controllers delegan en servicios; FiadoDbContext contiene entidades cloud equivalentes a SQLite.","Produccion exige Jwt:Key fuerte; endpoints protegidos usan [Authorize]; health queda publico.","backend/src/FiadoApp.Api/Program.cs; backend/src/FiadoApp.Api/Controllers/*.cs; backend/src/FiadoApp.Api/Services/*.cs; backend/src/FiadoApp.Api/Data/FiadoDbContext.cs","Users; Businesses; Clients; Products; ProductImages; Movements; DebtItems; Receipts; CreditCycles; Audits; AuthorizationRequests; ClientScores; WhatsappCampaignPublications; Payments","IAuthService; IClientService; IProductService; IMovementService; IGenericSyncService; IPaymentService","/api/auth; /api/clients; /api/products; /api/movements; /api/receipts; /api/credit-cycles; /api/audits; /api/authorization-requests; /api/sync/{module}; /health","Flutter -> ApiClient -> controller -> service -> FiadoDbContext -> SQL Server.","Endpoints mal enrutados, CORS o session validation pueden romper clientes.","Implementado.","HealthController tiene /api/health y Program.cs tambien /health."
"SQLite local","Base de datos","Schema version 29","Tecnico","SQLite local es fuente principal offline-first con tablas declaradas en DatabaseSchema.","DatabaseHelper abre fiado_app.db, activa PRAGMA foreign_keys, crea tablas/indices y aplica migraciones no destructivas.","Tablas referencian usuarios/negocio_id, clientes, productos, movimientos y colas sync.","Downgrade destructivo bloqueado; migraciones agregan columnas si faltan y hacen backfill defensivo.","lib/core/database/database_schema.dart; lib/core/database/database_helper.dart; test/database_helper_test.dart","clientes; movimientos; pagos; productos; usuarios; sesiones; subscriptions; solicitudes_autorizacion; auditorias; auditoria_items; producto_imagenes; deuda_items; comprobantes; credito_ciclos; credito_ciclo_movimientos; credito_recordatorios; credito_excepciones; client_scores; inventory_product_metrics; business_recommendations_cache; user_onboarding; whatsapp_campaign_publications; sync_queue; sync_outbox; sync_state","DatabaseHelper; LocalDatabase","No aplica","Inicio app -> initialize -> onCreate/onUpgrade/onOpen -> repositorios usan db.","Migraciones SQLite fallidas en dispositivos existentes.","Implementado.","Version actual leida en codigo: 29."
"SQL Server/backend cloud","Persistencia cloud","EF Core","Tecnico","SQL Server guarda entidades cloud para autenticacion, negocio, sync y pagos.","FiadoDbContext define DbSet e indices; migraciones EF registran evolucion del modelo.","Entidades cloud replican modulo local con BusinessId y RemoteId/LocalId para mapeo.","BusinessId sale del JWT; indices por BusinessId + UpdatedAt/DeletedAt soportan pull incremental.","backend/src/FiadoApp.Api/Data/FiadoDbContext.cs; backend/src/FiadoApp.Api/Migrations/*.cs","Users; Businesses; Clients; Products; ProductImages; Movements; DebtItems; Receipts; CreditCycles; CreditReminders; CreditExceptions; Audits; AuditItems; AuthorizationRequests; ClientScores; WhatsappCampaignPublications; SyncLogs; Payment*","EF Core DbContext; servicios backend","Todos los controllers protegidos salvo health/auth segun endpoint","Sync push/pull escribe/lee SQL Server y devuelve serverTime/resultados.","Migracion pendiente o modelo distinto entre StagingLocal y codigo.","Implementado con migraciones.","Program.cs valida columnas de sesion en StagingLocal."
"Migraciones","SQLite","Evolucion local","Tecnico","Migraciones locales cubren versiones 2 a 29.","onUpgrade agrega tablas, columnas, indices y backfills: productos, usuarios, solicitudes, auditorias, sync, imagenes, items, comprobantes, negocio_id, ciclos, onboarding, scores, metricas, recomendaciones e idempotencia.","Conectan tablas legacy con negocio_id, cliente_id, uuid, remote_id, sync_status y local_uuid.","No borrar migraciones; agregar columnas con _addColumnIfMissing.","lib/core/database/database_helper.dart; lib/core/database/database_schema.dart","Todas SQLite","DatabaseHelper","No aplica","Actualizar app -> onUpgrade -> backfill -> app continua.","Cuelgue o error startup si migracion asume columnas inexistentes.","Implementado.","Logs startup ayudan a diagnostico."
"Migraciones","Backend","EF Core migrations","Tecnico","Migraciones backend mantienen SQL Server alineado con entidades EF.","Archivos Migrations incluyen InitialCreate, sync fields, pagos, scores, trial, session columns, performance indexes e imagenes.","Afectan DbSet cloud y contratos de sync.","Aplicar migraciones antes de usar endpoints nuevos.","backend/src/FiadoApp.Api/Migrations/*.cs; tools/scripts/diagnose_ef_pending_model_changes.ps1; tools/scripts/repair_staginglocal_single_active_session_columns.ps1","SQL Server dbo.*","dotnet ef; FiadoDbContext","No aplica","Cambio modelo -> migration -> apply DB -> backend valida columnas.","Pending model changes o columnas session faltantes.","Implementado.","Scripts de diagnostico disponibles."
"Multi-negocio","Aislamiento","negocio_id/businessId","Regla critica","Cada negocio debe ver y modificar solo sus propios datos.","SQLite usa negocio_id; backend usa BusinessId desde JWT.","Colaborador hereda negocio_id; Personal queda fuera de datos internos; remote_id no reemplaza negocio_id.","Filtros por negocio_id obligatorios; productos no globales; telefono unico dentro del negocio.","ARCHITECTURE.md; MULTI_BUSINESS_ISOLATION_AUDIT.md; lib/data/repositories/*; backend/src/FiadoApp.Api/Data/FiadoDbContext.cs","clientes; productos; movimientos; producto_imagenes; deuda_items; comprobantes; auditorias; solicitudes_autorizacion; whatsapp_campaign_publications","currentBusinessIdProvider; repositorios por negocio; servicios backend","Todos los endpoints protegidos toman businessId del JWT","Login -> negocio activo -> consultas con negocio_id -> sync filtra BusinessId.","Fuga o duplicado si una consulta omite negocio_id.","Implementado con auditoria previa.","Riesgo critico."
"Manejo offline-first","Operacion sin conexion","Persistencia local","Arquitectura","La app debe funcionar localmente aunque backend no este disponible.","Repositorios escriben SQLite y encolan pendientes; AutoSyncService reintenta cuando hay conexion y sesion.","Cada modulo sincronizable conserva sync_status, remote_id, last_synced_at y cola.","No bloquear CRUD local por falla cloud salvo reglas de acceso/suscripcion que correspondan.","OFFLINE_FIRST_QA.md; OFFLINE_FIRST_RECOVERY_REPORT.md; lib/data/services/auto_sync_service.dart","sync_queue; sync_outbox; sync_state; tablas de dominio","AutoSyncService; SyncEngine; SyncQueueRepository","Endpoints sync por modulo","Offline -> cambios pending -> online -> push/pull -> synced.","Datos locales sin confirmar y divergencia entre dispositivos.","Implementado.","La UX simplifica estado."
"Procesos criticos","Creacion","Alta de registros","Proceso","Crear registros debe escribir SQLite, calcular relaciones y encolar sync.","Repositorios insertan entidad con negocio_id, timestamps, sync_status y payload de cola.","Clientes, productos, movimientos, items, comprobantes y campanas comparten patron.","Validar datos obligatorios y duplicados antes de insertar.","lib/data/repositories/*.dart","clientes; productos; movimientos; deuda_items; comprobantes; sync_queue; sync_outbox","Repositorios locales","POST endpoints o sync push segun modulo","Formulario -> validacion -> insert -> cola -> UI refresh.","Duplicados y datos incompletos si falta validacion.","Implementado por modulo.","Patron general deducido."
"Procesos criticos","Edicion","Actualizacion","Proceso","Editar debe preservar identidad local/remota y marcar registro como updated/pending.","Repositorios actualizan updated_at, sync_status y cola; colaboradores pueden requerir solicitud.","Afecta remote_id, sync_version, local_uuid y relaciones por id estable.","No cambiar cliente_id ni producto_id al editar campos descriptivos.","lib/data/repositories/*.dart; lib/data/repositories/solicitud_autorizacion_repository.dart","clientes; productos; movimientos; solicitudes_autorizacion","Repositorios; SyncQueueRepository","PUT endpoints o sync push","Editar -> validar permisos -> update SQLite -> cola -> sync.","Perdida de identidad si se reemplaza registro en vez de actualizar.","Implementado.","Permisos finos requieren vigilancia."
"Procesos criticos","Eliminacion","Soft delete","Proceso","Las entidades sincronizables usan baja logica para propagar eliminaciones.","Campos is_active/activo/deleted_at/sync_status ocultan localmente y envian deleted al backend.","Clientes, productos, movimientos, imagenes, comprobantes, auditorias y solicitudes tienen campos de baja.","No borrar fisicamente si debe sincronizarse; conservar remote_id.","lib/core/database/database_schema.dart; repositorios por entidad","clientes; productos; movimientos; producto_imagenes; deuda_items; comprobantes; auditorias; solicitudes_autorizacion","Repositorios locales; SyncQueueRepository","sync push por modulo","Eliminar/desactivar -> deleted_at/is_active -> cola -> backend -> pull.","Borrado irreversible antes de sync.","Implementado parcialmente por entidad.","Pagos legacy tiene menor cobertura de baja."
"Procesos criticos","Sincronizacion","Confirmacion cloud","Proceso","Confirmar cambios locales en cloud y recuperar cambios remotos.","Servicios cloud envian payloads, aplican remote_id, registran last_synced_at y actualizan sync_state.","Depende de JWT, businessId, deviceId, colas y mappers.","No marcar synced si backend devolvio error por item.","lib/data/services/cloud_*_sync_service.dart; lib/data/services/sync_engine.dart","sync_queue; sync_outbox; sync_state","Cloud*SyncService; SyncEngine","sync endpoints","pending -> push -> result -> update -> pull.","Datos sin confirmar si se marca success incorrectamente.","Implementado.","Usar diagnostics para errores."
"Reportes e inteligencia","Client Score","Riesgo de cliente","Analitica","Calcula score deterministico de clientes y reportes top/riesgo.","ClientScoreService local calcula snapshots desde movimientos, pagos y ciclos; guarda client_scores y sincroniza.","ClientScores se relaciona con clientes, ciclos y negocio.","Personal no accede a scores internos.","lib/credit_scoring/*; lib/screens/client_score_screen.dart; backend/src/FiadoApp.Api/Controllers/ClientScoresController.cs","client_scores; clientes; movimientos; credito_ciclos","ClientScoreService; CloudClientScoreSyncService","GET /api/client-scores; /top; /risk; /client/{clientId}; POST /api/client-scores/sync/*","Calcular score -> guardar snapshot -> reportes -> sync.","Score obsoleto si base no esta actualizada.","Implementado.","No usa IA externa."
"Reportes e inteligencia","Cobranza inteligente","Prioridad de cobro","Analitica","Agrupa cartera por prioridad y sugiere acciones de cobranza.","CollectionsIntelligenceService calcula insights desde SQLite y puede abrir WhatsApp con mensaje preparado.","Usa clientes, credito_ciclos, movimientos y client_scores.","No sincroniza CollectionInsight ni envia mensajes automaticamente.","lib/collections_intelligence/*; lib/screens/collections_intelligence_screen.dart","clientes; credito_ciclos; movimientos; client_scores","CollectionsIntelligenceService; CollectionMessageService","No hay endpoint especifico","Recalculo local -> pantalla -> accion manual.","Datos atrasados si sync/pagos pendientes no estan al dia.","Implementado local.","Deterministico offline."
"Reportes e inteligencia","Business Copilot","Recomendaciones","Analitica","Centro local de recomendaciones para negocio basado en datos operativos.","BusinessCopilotService consume cobranza, inventario, scores, ciclos, auditorias, solicitudes y suscripcion; cachea recomendaciones.","Usa business_recommendations_cache y datos derivados.","No usa IA externa ni OpenAI; recomendaciones son deterministicas.","lib/business_copilot/*; lib/screens/business_copilot_screen.dart","business_recommendations_cache; clientes; productos; auditorias; solicitudes_autorizacion; subscriptions","BusinessCopilotService","No hay endpoint especifico","Recalcular -> cache -> dashboard muestra recomendaciones.","Recomendacion obsoleta si cache no expira.","Implementado local.","Orientado a Negocio."
"Contratos y pruebas","JSON","camelCase snake_case","Tecnico","La app transforma columnas SQLite snake_case a contratos backend camelCase.","Modelos, mappers y Cloud*SyncService arman request/response; DataContractRegistry valida contratos seleccionados.","remote_id/serverId/localId/businessId cruzan capas.","Cambios de contrato requieren tests, DTOs y mappers actualizados.","lib/data/contracts/data_contract_registry.dart; backend/src/FiadoApp.Api/DTOs/*.cs; test/data_contract_registry_test.dart","Todas las tablas sincronizadas","DataContractValidator; Cloud*SyncService","Todos los sync endpoints","SQLite row -> model -> request DTO -> backend DTO -> response -> SQLite.","Campos ignorados, nulos o mal tipados.","Hay pruebas de contrato.","Riesgo explicitado por el usuario."
"Archivos analizados","Frontend Flutter","Inventario","Documentacion","Se revisaron areas clave de arquitectura, esquema, repositorios, servicios, pantallas, providers, tests y documentos QA.","El manual se baso en ARCHITECTURE.md, API_CONTRACTS.md, DatabaseSchema, DatabaseHelper, listado de lib/data/lib/screens/test/tools y fuentes relevantes.","Cubre relaciones detectadas por tablas, providers, servicios y endpoints.","No inventar archivos: rutas listadas existen segun el arbol del proyecto o lecturas directas.","ARCHITECTURE.md; API_CONTRACTS.md; lib/core/database/*; lib/data/repositories/*; lib/data/services/*; lib/screens/*; lib/presentation/providers/*; test/*","Todas las tablas del schema","Repositorios y servicios por modulo","Controllers backend listados","Analisis estatico -> manual CSV -> resumen MD.","Limitacion: no se ejecuto la app ni backend.","Completado.","Se evitaron cambios funcionales."
"Archivos analizados","Backend","Inventario","Documentacion","Se reviso backend ASP.NET Core: controllers, Program, DbContext, DTOs, services, migrations y pagos.","Los endpoints se documentaron desde atributos HttpGet/Post/Put y rutas de controllers.","DbContext confirma entidades e indices por BusinessId; Program confirma JWT, CORS, DI y session validation.","Endpoints protegidos requieren JWT salvo health/auth segun endpoint.","backend/src/FiadoApp.Api/Controllers/*.cs; backend/src/FiadoApp.Api/Services/*.cs; backend/src/FiadoApp.Api/DTOs/*.cs; backend/src/FiadoApp.Api/Migrations/*.cs; backend/src/FiadoApp.Api/Payments/*","SQL Server entidades FiadoDbContext","Servicios backend I*Service","/api/*","Controller -> service -> EF Core -> SQL Server.","Limitacion: no se inspecciono linea por linea cada metodo interno.","Completado.","Nivel suficiente para manual tecnico/funcional."
"Flujos principales","Auth/Suscripcion","Registro de negocio","Flujo","Flujo principal: Registro de negocio.","Usuario elige tipo Negocio, crea usuario/negocio, activa trial o suscripcion inicial y abre dashboard.","Relaciones principales: usuarios; subscriptions; Businesses; Subscriptions.","Debe respetar rol, negocio_id/businessId, escritura SQLite primero y sincronizacion posterior cuando aplique.","lib/screens/register_screen.dart; lib/data/repositories/auth_repository.dart; lib/data/services/cloud_auth_service.dart","usuarios; subscriptions; Businesses; Subscriptions","Providers/repositorios/servicios relacionados al modulo","/api/auth/register/business; /api/subscriptions/activate-trial","Usuario elige tipo Negocio, crea usuario/negocio, activa trial o suscripcion inicial y abre dashboard.","Validar datos, permisos, idempotencia y estado de sincronizacion.","Documentado desde codigo y arquitectura.","Si una parte se deduce por arquitectura, se indica por el patron offline-first del repo."
"Flujos principales","Auth","Login de negocio","Flujo","Flujo principal: Login de negocio.","Telefono/password crean sesion local, guardan JWT/businessId/sessionVersion y validan suscripcion.","Relaciones principales: usuarios; sesiones; subscriptions.","Debe respetar rol, negocio_id/businessId, escritura SQLite primero y sincronizacion posterior cuando aplique.","lib/screens/login_screen.dart; lib/data/services/cloud_auth_service.dart","usuarios; sesiones; subscriptions","Providers/repositorios/servicios relacionados al modulo","/api/auth/login; /api/auth/me; /api/subscriptions/status","Telefono/password crean sesion local, guardan JWT/businessId/sessionVersion y validan suscripcion.","Validar datos, permisos, idempotencia y estado de sincronizacion.","Documentado desde codigo y arquitectura.","Si una parte se deduce por arquitectura, se indica por el patron offline-first del repo."
"Flujos principales","Clientes","Registro de cliente","Flujo","Flujo principal: Registro de cliente.","Formulario guarda cliente con negocio_id, uuid y sync_status; luego sincroniza con clientes cloud.","Relaciones principales: clientes; sync_queue.","Debe respetar rol, negocio_id/businessId, escritura SQLite primero y sincronizacion posterior cuando aplique.","lib/screens/clientes_screen.dart; lib/data/repositories/cliente_repository.dart","clientes; sync_queue","Providers/repositorios/servicios relacionados al modulo","/api/clients/sync/push; /api/clients/sync/pull","Formulario guarda cliente con negocio_id, uuid y sync_status; luego sincroniza con clientes cloud.","Validar datos, permisos, idempotencia y estado de sincronizacion.","Documentado desde codigo y arquitectura.","Si una parte se deduce por arquitectura, se indica por el patron offline-first del repo."
"Flujos principales","Deudas","Crear deuda simple","Flujo","Flujo principal: Crear deuda simple.","Crea movimiento tipo deuda, actualiza saldo/ciclo y encola sincronizacion.","Relaciones principales: movimientos; clientes; credito_ciclos; comprobantes.","Debe respetar rol, negocio_id/businessId, escritura SQLite primero y sincronizacion posterior cuando aplique.","lib/data/repositories/movimiento_repository.dart","movimientos; clientes; credito_ciclos; comprobantes","Providers/repositorios/servicios relacionados al modulo","/api/movements/sync/push","Crea movimiento tipo deuda, actualiza saldo/ciclo y encola sincronizacion.","Validar datos, permisos, idempotencia y estado de sincronizacion.","Documentado desde codigo y arquitectura.","Si una parte se deduce por arquitectura, se indica por el patron offline-first del repo."
"Flujos principales","Deudas/Inventario","Crear deuda con productos","Flujo","Flujo principal: Crear deuda con productos.","Selecciona articulos, crea movimiento y deuda_items, descuenta stock y genera comprobante.","Relaciones principales: movimientos; deuda_items; productos; comprobantes.","Debe respetar rol, negocio_id/businessId, escritura SQLite primero y sincronizacion posterior cuando aplique.","lib/screens/widgets/agregar_deuda_dialog.dart; lib/data/repositories/deuda_item_repository.dart","movimientos; deuda_items; productos; comprobantes","Providers/repositorios/servicios relacionados al modulo","/api/movements/sync/push; /api/debt-items/sync/push","Selecciona articulos, crea movimiento y deuda_items, descuenta stock y genera comprobante.","Validar datos, permisos, idempotencia y estado de sincronizacion.","Documentado desde codigo y arquitectura.","Si una parte se deduce por arquitectura, se indica por el patron offline-first del repo."
"Flujos principales","Pagos","Registrar pago","Flujo","Flujo principal: Registrar pago.","Crea movimiento tipo pago, reduce el ciclo mas viejo, actualiza saldo y genera comprobante.","Relaciones principales: movimientos; credito_ciclos; comprobantes.","Debe respetar rol, negocio_id/businessId, escritura SQLite primero y sincronizacion posterior cuando aplique.","lib/data/repositories/movimiento_repository.dart; lib/data/repositories/credito_ciclo_repository.dart","movimientos; credito_ciclos; comprobantes","Providers/repositorios/servicios relacionados al modulo","/api/movements/sync/push; /api/receipts/sync/push","Crea movimiento tipo pago, reduce el ciclo mas viejo, actualiza saldo y genera comprobante.","Validar datos, permisos, idempotencia y estado de sincronizacion.","Documentado desde codigo y arquitectura.","Si una parte se deduce por arquitectura, se indica por el patron offline-first del repo."
"Flujos principales","Inventario","Crear producto","Flujo","Flujo principal: Crear producto.","Guarda producto por negocio con costo, precio, margen, stock, codigo y ubicacion.","Relaciones principales: productos; sync_queue.","Debe respetar rol, negocio_id/businessId, escritura SQLite primero y sincronizacion posterior cuando aplique.","lib/screens/inventario_screen.dart; lib/data/repositories/producto_repository.dart","productos; sync_queue","Providers/repositorios/servicios relacionados al modulo","/api/products/sync/push","Guarda producto por negocio con costo, precio, margen, stock, codigo y ubicacion.","Validar datos, permisos, idempotencia y estado de sincronizacion.","Documentado desde codigo y arquitectura.","Si una parte se deduce por arquitectura, se indica por el patron offline-first del repo."
"Flujos principales","Inventario","Agregar imagen a producto","Flujo","Flujo principal: Agregar imagen a producto.","Optimiza imagen, guarda local_path y metadata, muestra miniatura y sincroniza metadata/contenido.","Relaciones principales: producto_imagenes; productos.","Debe respetar rol, negocio_id/businessId, escritura SQLite primero y sincronizacion posterior cuando aplique.","lib/data/repositories/producto_imagen_repository.dart; lib/data/services/product_image_optimizer_service.dart","producto_imagenes; productos","Providers/repositorios/servicios relacionados al modulo","/api/products/images/sync/push; /api/sync/inventory/images/content/push","Optimiza imagen, guarda local_path y metadata, muestra miniatura y sincroniza metadata/contenido.","Validar datos, permisos, idempotencia y estado de sincronizacion.","Documentado desde codigo y arquitectura.","Si una parte se deduce por arquitectura, se indica por el patron offline-first del repo."
"Flujos principales","Inventario","Ajuste de inventario","Flujo","Flujo principal: Ajuste de inventario.","Edita cantidad/costo/precio; productos quedan updated y metricas dirty; colaborador puede requerir autorizacion.","Relaciones principales: productos; inventory_product_metrics; solicitudes_autorizacion.","Debe respetar rol, negocio_id/businessId, escritura SQLite primero y sincronizacion posterior cuando aplique.","lib/data/repositories/producto_repository.dart; lib/data/repositories/inventory_product_metrics_repository.dart","productos; inventory_product_metrics; solicitudes_autorizacion","Providers/repositorios/servicios relacionados al modulo","/api/products/sync/push","Edita cantidad/costo/precio; productos quedan updated y metricas dirty; colaborador puede requerir autorizacion.","Validar datos, permisos, idempotencia y estado de sincronizacion.","Documentado desde codigo y arquitectura.","Si una parte se deduce por arquitectura, se indica por el patron offline-first del repo."
"Flujos principales","Colaboradores","Solicitud de autorizacion de colaborador","Flujo","Flujo principal: Solicitud de autorizacion de colaborador.","Colaborador intenta cambio sensible; se guarda solicitud con datos antes/despues para decision del negocio.","Relaciones principales: solicitudes_autorizacion; usuarios; productos.","Debe respetar rol, negocio_id/businessId, escritura SQLite primero y sincronizacion posterior cuando aplique.","lib/data/repositories/solicitud_autorizacion_repository.dart","solicitudes_autorizacion; usuarios; productos","Providers/repositorios/servicios relacionados al modulo","/api/authorization-requests/sync/push; /api/authorization-requests/{id}/approve","Colaborador intenta cambio sensible; se guarda solicitud con datos antes/despues para decision del negocio.","Validar datos, permisos, idempotencia y estado de sincronizacion.","Documentado desde codigo y arquitectura.","Si una parte se deduce por arquitectura, se indica por el patron offline-first del repo."
"Flujos principales","Auditorias","Auditoria diaria","Flujo","Flujo principal: Auditoria diaria.","Crea auditoria diaria, registra stock fisico por item, finaliza y sincroniza.","Relaciones principales: auditorias; auditoria_items; productos.","Debe respetar rol, negocio_id/businessId, escritura SQLite primero y sincronizacion posterior cuando aplique.","lib/screens/auditoria_screen.dart; lib/data/repositories/auditoria_repository.dart","auditorias; auditoria_items; productos","Providers/repositorios/servicios relacionados al modulo","/api/audits/sync/push; /api/audit-items/sync/push","Crea auditoria diaria, registra stock fisico por item, finaliza y sincroniza.","Validar datos, permisos, idempotencia y estado de sincronizacion.","Documentado desde codigo y arquitectura.","Si una parte se deduce por arquitectura, se indica por el patron offline-first del repo."
"Flujos principales","Auditorias","Auditoria semanal","Flujo","Flujo principal: Auditoria semanal.","Si la semana no esta completada, crea auditoria semanal y reporta diferencias.","Relaciones principales: auditorias; auditoria_items.","Debe respetar rol, negocio_id/businessId, escritura SQLite primero y sincronizacion posterior cuando aplique.","lib/screens/inventario_screen.dart; lib/screens/auditoria_reportes_screen.dart","auditorias; auditoria_items","Providers/repositorios/servicios relacionados al modulo","/api/audits/business/report","Si la semana no esta completada, crea auditoria semanal y reporta diferencias.","Validar datos, permisos, idempotencia y estado de sincronizacion.","Documentado desde codigo y arquitectura.","Si una parte se deduce por arquitectura, se indica por el patron offline-first del repo."
"Flujos principales","Comprobantes","Generacion de comprobante PDF","Flujo","Flujo principal: Generacion de comprobante PDF.","Guarda payload y saldos; genera PDF para imprimir o compartir.","Relaciones principales: comprobantes; movimientos; deuda_items.","Debe respetar rol, negocio_id/businessId, escritura SQLite primero y sincronizacion posterior cuando aplique.","lib/data/services/comprobante_pdf_service.dart; lib/screens/comprobante_screen.dart","comprobantes; movimientos; deuda_items","Providers/repositorios/servicios relacionados al modulo","/api/receipts/sync/push","Guarda payload y saldos; genera PDF para imprimir o compartir.","Validar datos, permisos, idempotencia y estado de sincronizacion.","Documentado desde codigo y arquitectura.","Si una parte se deduce por arquitectura, se indica por el patron offline-first del repo."
"Flujos principales","Campanas","Publicacion de campana WhatsApp","Flujo","Flujo principal: Publicacion de campana WhatsApp.","Selecciona productos, renderiza flyers, abre share sheet y registra confirmacion manual.","Relaciones principales: whatsapp_campaign_publications; productos; producto_imagenes.","Debe respetar rol, negocio_id/businessId, escritura SQLite primero y sincronizacion posterior cuando aplique.","lib/screens/create_whatsapp_campaign_screen.dart; lib/data/services/whatsapp_status_campaign_service.dart","whatsapp_campaign_publications; productos; producto_imagenes","Providers/repositorios/servicios relacionados al modulo","/api/whatsapp-campaigns/sync/push","Selecciona productos, renderiza flyers, abre share sheet y registra confirmacion manual.","Validar datos, permisos, idempotencia y estado de sincronizacion.","Documentado desde codigo y arquitectura.","Si una parte se deduce por arquitectura, se indica por el patron offline-first del repo."
"Flujos principales","Sync","Sincronizacion automatica","Flujo","Flujo principal: Sincronizacion automatica.","AutoSyncService procesa pendientes por modulo, hace push/pull y actualiza estados visibles.","Relaciones principales: sync_queue; sync_outbox; sync_state.","Debe respetar rol, negocio_id/businessId, escritura SQLite primero y sincronizacion posterior cuando aplique.","lib/data/services/auto_sync_service.dart; lib/data/services/sync_engine.dart","sync_queue; sync_outbox; sync_state","Providers/repositorios/servicios relacionados al modulo","/api/*/sync/*; /api/sync/{module}/*","AutoSyncService procesa pendientes por modulo, hace push/pull y actualiza estados visibles.","Validar datos, permisos, idempotencia y estado de sincronizacion.","Documentado desde codigo y arquitectura.","Si una parte se deduce por arquitectura, se indica por el patron offline-first del repo."
"Flujos principales","Auth","Inicio de sesion en segundo dispositivo","Flujo","Flujo principal: Inicio de sesion en segundo dispositivo.","Nuevo login cloud actualiza ActiveDeviceId/sessionVersion; dispositivo anterior queda sujeto a SESSION_REPLACED.","Relaciones principales: Users; sesiones.","Debe respetar rol, negocio_id/businessId, escritura SQLite primero y sincronizacion posterior cuando aplique.","lib/data/services/cloud_auth_service.dart; backend/src/FiadoApp.Api/Services/AuthService.cs","Users; sesiones","Providers/repositorios/servicios relacionados al modulo","/api/auth/login","Nuevo login cloud actualiza ActiveDeviceId/sessionVersion; dispositivo anterior queda sujeto a SESSION_REPLACED.","Validar datos, permisos, idempotencia y estado de sincronizacion.","Documentado desde codigo y arquitectura.","Si una parte se deduce por arquitectura, se indica por el patron offline-first del repo."
"Flujos principales","Auth","Invalidacion de sesion anterior si aplica","Flujo","Flujo principal: Invalidacion de sesion anterior si aplica.","Middleware backend detecta token reemplazado y responde 401 SESSION_REPLACED.","Relaciones principales: Users; sesiones.","Debe respetar rol, negocio_id/businessId, escritura SQLite primero y sincronizacion posterior cuando aplique.","backend/src/FiadoApp.Api/Program.cs; test/session_replaced_status_test.dart","Users; sesiones","Providers/repositorios/servicios relacionados al modulo","Cualquier endpoint protegido","Middleware backend detecta token reemplazado y responde 401 SESSION_REPLACED.","Validar datos, permisos, idempotencia y estado de sincronizacion.","Documentado desde codigo y arquitectura.","Si una parte se deduce por arquitectura, se indica por el patron offline-first del repo."
"Riesgos y puntos criticos","Perdida de datos por sincronizacion incorrecta","Riesgo operativo/tecnico","Riesgo","Perdida de datos por sincronizacion incorrecta","No marcar synced si backend fallo; conservar local hasta confirmar.","Afecta: sync_queue; sync_outbox; sync_state.","Debe incluirse en QA y revisiones antes de releases.","lib/data/services/cloud_*_sync_service.dart","sync_queue; sync_outbox; sync_state","Servicios/repositorios segun modulo afectado","Endpoints relacionados segun modulo","Detectar -> diagnosticar -> corregir -> validar regresion.","Perdida de datos por sincronizacion incorrecta","Riesgo activo a vigilar.","Incluido por requerimiento y por evidencia del repo."
"Riesgos y puntos criticos","Duplicados por negocio","Riesgo operativo/tecnico","Riesgo","Duplicados por negocio","Comparar telefono, codigo, remote_id y uuid junto a negocio_id/businessId.","Afecta: clientes; productos; client_scores.","Debe incluirse en QA y revisiones antes de releases.","MULTI_BUSINESS_ISOLATION_AUDIT.md; FiadoDbContext.cs","clientes; productos; client_scores","Servicios/repositorios segun modulo afectado","Endpoints relacionados segun modulo","Detectar -> diagnosticar -> corregir -> validar regresion.","Duplicados por negocio","Riesgo activo a vigilar.","Incluido por requerimiento y por evidencia del repo."
"Riesgos y puntos criticos","Divergencia entre dispositivos","Riesgo operativo/tecnico","Riesgo","Divergencia entre dispositivos","Validar push/pull incremental y restauracion inicial en segundo dispositivo.","Afecta: sync_state; tablas sync.","Debe incluirse en QA y revisiones antes de releases.","test/cloud_client_initial_restore_test.dart; test/client_sync_v2_test.dart","sync_state; tablas sync","Servicios/repositorios segun modulo afectado","Endpoints relacionados segun modulo","Detectar -> diagnosticar -> corregir -> validar regresion.","Divergencia entre dispositivos","Riesgo activo a vigilar.","Incluido por requerimiento y por evidencia del repo."
"Riesgos y puntos criticos","Errores legacy persistentes","Riesgo operativo/tecnico","Riesgo","Errores legacy persistentes","Diagnosticar sync_queue failed y evitar que errores viejos oculten estado real.","Afecta: sync_queue.","Debe incluirse en QA y revisiones antes de releases.","lib/data/services/legacy_sync_queue_diagnostics.dart","sync_queue","Servicios/repositorios segun modulo afectado","Endpoints relacionados segun modulo","Detectar -> diagnosticar -> corregir -> validar regresion.","Errores legacy persistentes","Riesgo activo a vigilar.","Incluido por requerimiento y por evidencia del repo."
